nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm3737565	Ai-Wei Chen	\N	\N	writer,director,actor	tt0198792,tt0077277,tt0082109,tt0183341
nm3881333	Show Lo	1979	\N	actor,soundtrack	tt2017561,tt4701660,tt1641680,tt5813366
nm3885069	Arash Amel	\N	\N	writer,producer,executive	tt4986098,tt2368254,tt6879446,tt10451914
nm3893921	Hong Kim	\N	\N	animation_department,producer,visual_effects	tt0184005,tt3228088,tt6419292,tt1821658
nm3924219	Wenwen Han	1995	\N	actress	tt1155076,tt6498818
nm3968338	Siwei Cui	\N	\N	writer,director	tt9742422,tt0851515,tt5813366,tt8755316
nm3976375	Sun Liu	\N	\N	writer	tt0068000
nm4060968	David Liu	\N	\N	director,cinematographer	tt1720267
nm4061122	Lucy Yang	\N	\N	producer	tt1720267
nm4062655	Xizeng Xu	\N	\N	writer	tt1720267
nm4080670	Xingtong Yao	1983	\N	actress	tt4838422,tt1424310,tt10168090,tt1726640
nm4111443	Andi Campbell-Waite	\N	\N	editor,producer,editorial_department	tt10139778,tt7613210,tt4816552,tt4153972
nm4318551	Fei Peng	\N	\N	composer,music_department,soundtrack	tt1841701,tt4242158,tt5596352,tt5813366
nm4366662	Asa Bailey	\N	\N	director,writer,producer	tt3699186,tt4368560,tt6679440,tt2095808
nm4376119	Shu Luan	\N	\N	soundtrack,composer,music_department	tt6128848,tt0304641,tt1810602,tt2992152
nm4377915	Haiying Shi	\N	\N	production_designer,art_director	tt1330607,tt2113822,tt6654316,tt1393746
nm4912321	Bing-Hung Li	\N	\N	actor,assistant_director,stunts	tt3497156,tt0082109,tt0198792,tt0077277
nm4933115	Xiao Ke	1971	\N	soundtrack,composer,music_department	tt1319718,tt1753976,tt4168512,tt4838340
nm4938228	Nelson Lee	\N	\N	actor	tt0077277
nm5022110	Michael J. Wilson	\N	\N	writer	tt9328210,tt0268380,tt0307453,tt3416828
nm5025819	Ken Lowe	\N	\N	writer	tt0091431
nm5045313	Teddy Riley	\N	\N	writer	tt4357668,tt2396475,tt4685784,tt2579372
nm5088245	Tao Yin	\N	\N	actress	tt6363176,tt2189670,tt7133180,tt8638252
nm5253967	Vash	\N	\N	director,writer,visual_effects	tt4228850,tt1569923,tt7587984
nm5260718	Jianhong Qi	\N	\N	producer	tt6879446,tt2238032,tt3672840,tt1615160
nm5262179	Bin Guo	\N	\N	producer	tt1772230
nm5262456	Guoqing Gu	\N	\N	producer,miscellaneous	tt1772230,tt4392726,tt1847713,tt3408808
nm5323700	Stasya Knight	\N	\N	actress,director,miscellaneous	tt1018765,tt2916024,tt5124890,tt5893906
nm5439765	Burns Burns	\N	\N	art_department,production_designer,miscellaneous	tt8110246,tt7349416,tt5503472,tt3748440
nm5457848	Yan Liu	\N	\N	writer,producer,miscellaneous	tt7436316,tt9844988,tt7188928,tt2599716
nm5647594	Eyad Hourani	\N	\N	actor	tt6143982,tt4053020,tt2852406,tt10189204
nm5664649	Charlie Coker	\N	\N	producer	tt2238032
nm5908926	Wei Tan	\N	\N	writer	tt2599716
nm5962871	Amadeus Serafini	\N	\N	actor	tt7026270,tt6879446,tt3921180
nm5987682	Golden Way Creative Group	\N	\N	writer	tt0098019,tt0100966,tt0093413
nm6039993	Zijian Dong	1993	\N	actor,producer,soundtrack	tt3781476,tt5102396,tt3285802,tt3740778
nm6051128	Nathaniel Boyd	\N	\N	actor,writer,producer	tt8137658,tt6003476,tt5813366,tt2113822
nm6085160	Gleb Fetisov	\N	\N	producer,executive	tt5662550,tt3809960,tt2883512,tt6304162
nm6179961	Aleksandra Maghakyan	\N	\N	composer,music_department	tt3963952,tt5987402,tt2927178,tt9795368
nm6283683	Shuying Chen	\N	\N	writer	tt2599716
nm6374541	Ruan Zengsan	\N	\N	cinematographer	tt0205087,tt0453147,tt0205471,tt0124891
nm6472391	Chao Lv	\N	\N	writer	tt2599716
nm6590527	Aleks Mikic	\N	\N	actor,production_designer,sound_department	tt10195214,tt4976512,tt4443658,tt5016504
nm6661769	Mir Sarwar	\N	\N	actor,producer,director	tt3863552,tt3469244,tt5436698,tt6264938
nm7094216	Miya Muqi	1987	\N	actress	tt9812530,tt9695722,tt4217392,tt4412098
nm7134395	Na-Na OuYang	2000	\N	actress	tt3505950,tt4788638,tt5813366,tt5425144
nm7301909	Zitao Huang	1993	\N	actor	tt5992138,tt4687848,tt5801026,tt5991586
nm7344694	Yixing Zhang	1991	\N	actor,soundtrack	tt5297596,tt4217392,tt7185492,tt8755316
nm7416348	Ying Gao	\N	\N	writer	tt2599716
nm7443261	Maofei Zhou	\N	\N	producer,miscellaneous	tt4217392,tt5918090,tt4687848,tt3672840
nm7443264	Zhao Lei	\N	\N	producer,production_manager	tt7509586,tt4217392,tt1615160,tt3672840
nm7622097	Dilraba Dilmurat	1992	\N	actress,soundtrack	tt6857276,tt6918180,tt6058496,tt6488862
nm7705410	Remington D. Donovan	\N	\N	actor,writer	tt4212752,tt6176078
nm7796669	Disha Patani	1992	\N	actress	tt6932856,tt7721800,tt4169250,tt4217392
nm7870268	Zhao Zhao	\N	\N	composer,music_department,soundtrack	tt4838422,tt6091936,tt9626928,tt7587984
nm8054476	Lun Ai	\N	\N	actor	tt9695722,tt7431894,tt9887130,tt10504110
nm8151982	Duling Chen	1993	\N	actress	tt4545806,tt7645502,tt10098374,tt7326858
nm8417795	Theodore Riley	\N	\N	writer	tt4685784
nm8575929	Tiffany Alycia Tong	\N	\N	writer,director,actress	tt6244756
nm8588931	Ross Evans	\N	\N	writer	tt6176078
nm8620722	Jon Saunders	\N	\N	writer,director	tt6176078
nm8691513	He Keke	\N	\N	writer	tt4687848
nm8694048	Elane Zhong	1993	\N	actress	tt6654316,tt10080086,tt2071628,tt7587984
nm8706022	Peter Knights	\N	\N	writer	tt6420608
nm8706023	Andrew Hand	\N	\N	composer	tt6420608
nm8732473	Jonathan Shen	\N	\N	producer,executive	tt4217392,tt7014404,tt6083972
nm8732475	Joe Tam	\N	\N	producer,production_manager	tt4217392,tt6879446,tt1615160,tt3672840
nm9029253	Tim Goodwin	\N	\N	editor	tt6951892
nm9156873	Jinyan Zhai	\N	\N	composer	tt6971052,tt7176170,tt7587984
nm9204083	Ole Kirk Christiansen	1891	1958	writer	tt4116284,tt1149317,tt1490017,tt9673190
nm9204084	Godtfred Kirk Christiansen	1920	1995	writer	tt1149317,tt9673190,tt1490017,tt4116284
nm9204085	Jens Nygaard Knudsen	\N	\N	writer	tt1490017,tt1149317,tt4116284,tt2620204
nm9249407	Javier Zhang	\N	\N	producer,miscellaneous	tt4851640,tt5813366,tt3781476,tt5290882
nm9276991	Erica Xia-Hou	\N	\N	actress,writer	tt5813366
nm9390775	Boham Liu	\N	\N	writer	tt7587984
nm9595585	Tiger Xiao	\N	\N	writer	\N
nm9595586	Sun Siyu	\N	\N	writer	\N
nm9595587	Zhu Siyi	\N	\N	writer	\N
nm9639530	Nicole Rodan	\N	\N	producer	\N
