nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0274255	Michelle Ferre	1973	\N	actress	tt1873608,tt0127357
nm0279729	Paul Fisher	\N	\N	animation_department,art_department,writer	tt0892769,tt3014284,tt0120794,tt0892791
nm0286499	Lola Forner	1960	\N	actress	tt1275297,tt0100269,tt0087578,tt0091431
nm0297133	Li Fu	\N	\N	composer,writer,director	tt0320109,tt0105845,tt0112660,tt6571630
nm0299301	John Fusco	\N	\N	writer,producer,actor	tt0317648,tt0096487,tt0166813,tt0865556
nm0322785	James Glickenhaus	1950	\N	director,writer,soundtrack	tt0114676,tt0080707,tt0084704,tt0096087
nm0322802	Jonathan Glickman	1969	\N	producer,executive	tt0253556,tt0245844,tt0119229,tt1243957
nm0331822	Kumiko Goto	1974	\N	actress	tt0265606,tt0100312,tt0100311,tt0103950
nm0332184	Alfred Gough	1967	\N	writer,producer,director	tt0316654,tt1464540,tt0859163,tt0279600
nm0345150	Joseph Koo	1933	\N	composer,music_department,soundtrack	tt0186198,tt0098147,tt0092263,tt0068935
nm0373588	Alex Heffes	1971	\N	composer,soundtrack,music_department	tt1161864,tt1211956,tt0455590,tt0473705
nm0378245	Taraji P. Henson	1970	\N	actress,producer,soundtrack	tt0421715,tt4846340,tt0410097,tt1155076
nm0381478	Jared Hess	1979	\N	writer,director,producer	tt0374900,tt1161418,tt2461150,tt0457510
nm0383258	Keigo Higashino	1958	\N	writer	tt1946285,tt7080138,tt2282917,tt1415224
nm0387306	Ivy Ho	\N	\N	writer,producer,actress	tt1303846,tt1447800,tt0312886,tt0117905
nm0387337	Leonard Ho	1925	1997	producer,miscellaneous,production_manager	tt0113326,tt0111512,tt0127357,tt0089374
nm0389885	Hoi Mang	\N	\N	actor,stunts,miscellaneous	tt0093229,tt0112800,tt0084267,tt0094374
nm0393207	Ting Hung Kuo	\N	\N	editor,producer,miscellaneous	tt0066587,tt0365808,tt1236183,tt0069518
nm0398786	Hsin Yi Chang	\N	\N	writer,director,assistant_director	tt0188782,tt1603834,tt0200003,tt5977870
nm0398801	Chun-Hsiung Ko	1945	2015	actor,producer,director	tt1470842,tt0105845,tt1483384,tt1450639
nm0398852	Vivian Hsu	1975	\N	actress,producer,soundtrack	tt0445609,tt0768137,tt1857913,tt7782570
nm0398861	Hung Poon	\N	\N	editor,editorial_department,assistant_director	tt0097618,tt0104322,tt1462900,tt0080179
nm0398934	Li Hua Li	1924	2017	actress,music_department,producer	tt0456741,tt5592298,tt0058760,tt0211424
nm0398969	Bruce Le	1950	\N	actor,stunts,director	tt0075859,tt0080475,tt0077645,tt0078911
nm0399007	Jung-Lee Hwang	1944	\N	actor,director,miscellaneous	tt0080179,tt0076709,tt0091091,tt0076939
nm0399074	James Wong	1940	2004	actor,soundtrack,music_department	tt0100973,tt0103285,tt0097202,tt0093978
nm0399077	Chih-Hsiung Huang	\N	\N	editor,composer,miscellaneous	tt0107161,tt0094146,tt0095011,tt0079051
